@relation R_data_frame

@attribute RequiredAge numeric
@attribute Controller {full,none}
@attribute Mac {FALSE,TRUE}
@attribute Linux {FALSE,TRUE}
@attribute Singleplayer {FALSE,TRUE}
@attribute Multiplayer {FALSE,TRUE}
@attribute Coop {FALSE,TRUE}
@attribute LocalCoop {FALSE,TRUE}
@attribute SteamAchievements {FALSE,TRUE}
@attribute SteamTradingCards {FALSE,TRUE}
@attribute SteamWorkshop {FALSE,TRUE}
@attribute Screenshots numeric
@attribute Trailers numeric
@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute Weekday {Friday,Monday,Saturday,Thursday,Tuesday,Wednesday}
@attribute LaunchPrice numeric
@attribute French {FALSE,TRUE}
@attribute German {FALSE,TRUE}
@attribute Italian {FALSE,TRUE}
@attribute Japanese {FALSE,TRUE}
@attribute Polish {FALSE,TRUE}
@attribute Portuguese {FALSE,TRUE}
@attribute Russian {FALSE,TRUE}
@attribute Spanish {FALSE,TRUE}
@attribute RPG {FALSE,TRUE}
@attribute Strategy {FALSE,TRUE}
@attribute Adventure {FALSE,TRUE}
@attribute Action {FALSE,TRUE}
@attribute Simulation {FALSE,TRUE}
@attribute Racing {FALSE,TRUE}
@attribute Casual {FALSE,TRUE}
@attribute Sports {FALSE,TRUE}
@attribute MassivelyMultiplayer {FALSE,TRUE}
@attribute Education {FALSE,TRUE}
@attribute Indie {FALSE,TRUE}
@attribute NameLength numeric
@attribute DescriptionLength numeric
@attribute DescIsInf {FALSE,TRUE}
@attribute Players numeric

@data
0,none,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,0,2012,9,13,Thursday,29.99,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14,999,FALSE,2.92
0,full,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,12,1,2012,9,13,Thursday,4.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,8,1200,TRUE,2.51
0,none,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,2,2012,9,14,Friday,24.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,1912,FALSE,2.66
0,none,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,12,1,2012,9,14,Friday,9.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,22,1836,TRUE,11.71
0,none,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,4,1,2012,9,18,Tuesday,9.99,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,26,2584,TRUE,6.06
0,none,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,11,1,2012,9,19,Wednesday,9.99,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,16,1224,TRUE,1.82
0,full,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,1,2012,9,19,Wednesday,9.99,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,937,TRUE,5.37
0,none,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,6,2,2012,9,19,Wednesday,49.99,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,8,904,TRUE,10.22
0,none,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,5,2,2012,9,20,Thursday,39.99,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,903,FALSE,6.01
0,none,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,18,2,2012,9,20,Thursday,19.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,13,2423,TRUE,13.33
17,full,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,17,7,2012,9,20,Thursday,59.99,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,2507,TRUE,15
0,none,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,10,1,2012,9,21,Friday,29.99,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31,1014,TRUE,4.58
0,none,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,13,1,2012,9,21,Friday,14.99,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,13,1279,TRUE,3.96
0,none,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,7,2,2012,9,24,Monday,9.99,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,11,1824,TRUE,1.99
0,none,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,1,2012,9,24,Monday,4.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,30,636,TRUE,0.56
0,none,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,2012,9,25,Tuesday,19.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,24,890,TRUE,1.15
0,none,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,13,1,2012,9,25,Tuesday,4.99,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,7,509,TRUE,4.38
0,full,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18,1,2012,9,25,Tuesday,49.99,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,23,983,TRUE,6.41
0,full,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,21,1,2012,9,26,Wednesday,14.99,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,16,1602,TRUE,9.46
